Timestamp,Cargo Scored,Team Number,Starting Platform,Game Piece Start,Sandstorm Hatch,Sandstorm Cargo,Ship Cargo,Ship Hatch,Rocket Cargo,Rocket Hatch,Dropped Cargo,Dropped Hatch,Total Cargo,Total Hatch,Total Points,Rocket Level,"Did they defend? If so, how well?",,HAB Level,Did they show?,Additional comments (optional),Hatches Scored
3/16/2019 12:05,0,6239,2,Hatch Panel,Neither,Neither,0,1,0,2,0,1,0,0,0,1,Did not defend,,2,Yes,,#REF!
3/16/2019 12:40,0,6239,2,Hatch Panel,Rocket,Neither,0,2,0,1,0,1,0,0,0,1,Did not defend,,2,Yes,,#REF!
3/16/2019 15:55,0,6239,2,Hatch Panel,Neither,Neither,0,1,0,2,0,0,0,0,0,2,Did not defend,,2,Yes,,#REF!
3/16/2019 16:21,0,6239,1,Hatch Panel,Neither,Neither,0,2,0,1,0,0,0,0,0,0,Did not defend,,2,Yes,,#REF!
3/17/2019 9:21,0,6239,2,Hatch Panel,Neither,Neither,0,0,0,2,0,1,0,0,0,2,Did not defend,,2,Yes,,#REF!
3/16/2019 18:09,0,6239,2,Hatch Panel,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Poor,,1,Yes,,#REF!
3/16/2019 15:27,0,6326,1,Hatch Panel,Neither,Neither,0,8,0,0,0,1,0,0,0,0,Did not defend,,1,Yes,,8
3/16/2019 18:10,0,6326,2,Hatch Panel,Neither,Neither,0,2,0,0,0,0,0,0,0,0,Mediocre,,1,Yes,,2
3/16/2019 17:17,0,6326,2,Hatch Panel,Neither,Neither,0,0,0,1,0,0,0,0,0,1,Poor,,0,Yes,,1
3/16/2019 15:06,0,6326,2,Hatch Panel,Neither,Neither,0,0,0,1,0,0,0,0,0,1,Did not defend,,1,Yes,,1
3/17/2019 10:04,0,6326,2,Hatch Panel,Neither,Neither,0,0,0,0,0,1,0,0,0,0,Mediocre,,1,Yes,,0
3/16/2019 16:34,0,6326,1,Hatch Panel,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Did not defend,,1,Yes,Broke down and gave up halfway through,0
3/16/2019 17:30,3,6584,1,Cargo,Neither,Neither,3,1,0,0,0,0,3,0,9,0,Did not defend,,1,Yes,Decent,1
3/16/2019 15:21,2,6584,1,Cargo,Neither,Cargo Ship,2,2,0,0,0,0,2,0,6,0,Did not defend,,1,Yes,,2
3/16/2019 16:48,1,6584,1,Cargo,Neither,Neither,1,0,0,0,0,0,1,0,3,0,Did not defend,,1,Yes,,0
